-170.5,-64.5,NaN
-170.5,-63.5,NaN
-170.5,-62.5,NaN
-169.5,-89.5,0.144207
-169.5,-88.5,0.180623
-169.5,-87.5,0.205122
-169.5,-86.5,0.222690
-169.5,-85.5,0.238677
-169.5,-84.5,0.251899
-169.5,-83.5,0.256289
-169.5,-82.5,0.247815
-169.5,-81.5,0.229355
-169.5,-80.5,0.209638
-169.5,-79.5,0.198699
-169.5,-78.5,0.204750
-169.5,-77.5,0.234171
-169.5,-76.5,0.291543
-169.5,-75.5,0.376190
-169.5,-74.5,0.476404
-169.5,-73.5,0.567460
-169.5,-72.5,0.618775
-169.5,-71.5,0.608553
-169.5,-70.5,0.536813
-169.5,-69.5,0.427062
-169.5,-68.5,0.314324
-169.5,-67.5,NaN
-169.5,-66.5,NaN
-169.5,-65.5,NaN
-169.5,-64.5,NaN
-169.5,-63.5,NaN
-169.5,-62.5,NaN
-168.5,-89.5,0.144356
-168.5,-88.5,0.181001
-168.5,-87.5,0.205715
-168.5,-86.5,0.223564
-168.5,-85.5,0.239727
-168.5,-84.5,0.252772
-168.5,-83.5,0.256716
-168.5,-82.5,0.248096
-168.5,-81.5,0.230466
-168.5,-80.5,0.212702
-168.5,-79.5,0.204083
-168.5,-78.5,0.211456
-168.5,-77.5,0.240033
-168.5,-76.5,0.294189
-168.5,-75.5,0.374183
-168.5,-74.5,0.469870
-168.5,-73.5,0.557904
-168.5,-72.5,0.608323
-168.5,-71.5,0.599151
-168.5,-70.5,0.529798
-168.5,-69.5,0.423134
-168.5,-68.5,0.313705
-168.5,-67.5,NaN
-168.5,-66.5,NaN
-168.5,-65.5,NaN
-168.5,-64.5,NaN
-168.5,-63.5,NaN
-168.5,-62.5,NaN
-167.5,-89.5,0.144497
-167.5,-88.5,0.181352
-167.5,-87.5,0.206246
-167.5,-86.5,0.224314
-167.5,-85.5,0.240573
-167.5,-84.5,0.253375
-167.5,-83.5,0.256855
-167.5,-82.5,0.248126
-167.5,-81.5,0.231401
-167.5,-80.5,0.215670
-167.5,-79.5,0.209442
-167.5,-78.5,0.218215
-167.5,-77.5,0.246076
-167.5,-76.5,0.297233
-167.5,-75.5,0.372883
-167.5,-74.5,0.464394
-167.5,-73.5,0.549701
-167.5,-72.5,0.599359
-167.5,-71.5,0.591145
-167.5,-70.5,0.523868
-167.5,-69.5,0.419843
-167.5,-68.5,0.313250
-167.5,-67.5,NaN
-167.5,-66.5,NaN
-167.5,-65.5,NaN
-167.5,-64.5,NaN
-167.5,-63.5,NaN
-167.5,-62.5,NaN
-166.5,-89.5,0.144632
-166.5,-88.5,0.181676
-166.5,-87.5,0.206713
-166.5,-86.5,0.224937
-166.5,-85.5,0.241213
-166.5,-84.5,0.253711
-166.5,-83.5,0.256712
-166.5,-82.5,0.247911
-166.5,-81.5,0.232152
-166.5,-80.5,0.218506
-166.5,-79.5,0.214702
-166.5,-78.5,0.224925
-166.5,-77.5,0.252196
-166.5,-76.5,0.300605
-166.5,-75.5,0.372288
-166.5,-74.5,0.460061
-166.5,-73.5,0.543026
-166.5,-72.5,0.592129
-166.5,-71.5,0.584822
-166.5,-70.5,0.519309
-166.5,-69.5,0.417431
-166.5,-68.5,0.313117
